label,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
1,1.0,0.0,1.0,0.0,24.0,3.7091479170272454,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.772055208874201,10.0,24.0,3.772055208874201,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.688721875540868,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.7091479170272454,10.0,24.0,3.7091479170272454,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8239348962840567,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.688721875540868,10.0,24.0,3.688721875540868,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.740601562950723,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8239348962840567,10.0,24.0,3.8239348962840567,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8239348962840567,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.740601562950723,10.0,24.0,3.740601562950723,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8035088547976788,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8239348962840567,10.0,24.0,3.8239348962840567,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.938721875540868,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8035088547976788,10.0,24.0,3.8035088547976788,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8553885422075345,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.938721875540868,10.0,24.0,3.938721875540868,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.740601562950723,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8553885422075345,10.0,24.0,3.8553885422075345,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.7201755214643453,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.740601562950723,10.0,24.0,3.740601562950723,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.8553885422075345,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.7201755214643453,10.0,24.0,3.7201755214643453,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.772055208874201,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,24.0,3.8553885422075345,10.0,24.0,3.8553885422075345,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,22.0,3.788754913993503,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,22.0,3.788754913993503,10.0,22.0,3.788754913993503,10.0,0.0,48.0,4.918295834054492,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,27.0,3.926571651178274,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,27.0,3.926571651178274,10.0,27.0,3.926571651178274,10.0,0.0,9.0,3.169925001442312,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,48.0,4.573934896284056,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,48.0,4.573934896284056,10.0,48.0,4.573934896284056,10.0,0.0,25.0,2.5028246923615067,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,22.0,3.788754913993503,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,22.0,3.788754913993503,10.0,22.0,3.788754913993503,10.0,0.0,48.0,4.918295834054492,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,57.0,4.229660575826948,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,57.0,4.229660575826948,10.0,57.0,4.229660575826948,10.0,0.0,42.0,4.016735577283109,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,66.0,4.4044118321231895,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,66.0,4.4044118321231895,10.0,66.0,4.4044118321231895,10.0,0.0,51.0,4.16027994042711,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,72.0,5.627986806877675,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,72.0,5.627986806877675,10.0,72.0,5.627986806877675,10.0,0.0,57.0,5.7276268562700015,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,52.0,5.455153420022565,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,52.0,5.455153420022565,10.0,52.0,5.455153420022565,10.0,0.0,37.0,5.155399311574899,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,68.0,5.929302730924411,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,68.0,5.929302730924411,10.0,68.0,5.929302730924411,10.0,0.0,53.0,5.727920454563195,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,22.0,3.754441845713345,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
